Name,Surface Mounted,Recessed,Emergency + Escape signs,Tel,Data,Public Addressable (PA),CCTV,Access Control,Local Detection,Central System,Heat Detector,Beam Detector,Gas Detector,Smoke Detector,Aspiration Smoke,Manual Button & Alarm,"Double socket outlet
230V","Industrial Socket Panel
",Power Supply Panel 320A,UPS
AD.0101,,x,x,,,,,,,,,,,,,x,x,,,
AD.0102,,x,x,,,,,,,,,,,,,x,x,,,
AD.0103,,x,x,,,,,,,x,,,,,,x,x,,,
AD.0104,,x,x,,,,,,,x,,,,,,x,x,,,
AM.0101,,x,x,,x,x,,,,,,,,x,,x,x,,,
AM.0102,,x,x,,x,x,,,,,,,,x,,x,x,,,
AM.0103,,x,x,,x,,,,,,,,,,,x,x,,,
AM.0104,,x,x,,x,,,,,,,,,,,x,x,,,
FA.0101,x,,x,,,x,x,x,,,,,,x,,,x,x,,
FA.0102,x,,x,,,x,x,x,,,,,,x,,,x,x,,
FA.0103,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0104,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0105,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,x,
FA.0106,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0107,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0108,x,,x,,x,x,x,x,,,,,,,x,x,x,x,,
FA.0109,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0110,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0111,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0112,x,,x,,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0113,x,,x,x,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0114,x,,x,x,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0115,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0116,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0117,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0118,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0119,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0120,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0121,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0122,x,,x,x,x,x,x,x,,,,,,,x,x,x,x,,
FA.0123,x,,x,x,x,x,x,x,,,,,,x,x,x,x,x,,
FA.0124,x,,x,,,x,,,,,,,,x,x,x,x,x,,
FA.0125,,x,x,x,x,x,,,,,,,,x,x,x,x,,,
FA.0126,,x,x,x,x,x,,,,,,,,,x,x,x,,,
FA.0127,,x,x,x,x,x,,,,,,,,,x,x,x,,,
FA.0128,,x,x,x,x,x,,,,,,,,,x,x,x,,,
FA.0129,,x,x,x,x,x,,,,,,,,,x,x,x,,,
FA.0130,,x,x,x,x,x,,,,,,,,,x,x,x,,,
FF.0101,,x,x,,,x,,x,,,,,,,x,x,x,,,
FF.0102,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0103,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0104,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0105,,x,x,,,,,x,,,,,,x,,x,,,,
FF.0106,,x,x,,,,,x,,,,,,x,,x,,,,
FF.0107,,x,x,,,,,x,,,,,,x,,x,,,,
FF.0108,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0109,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0110,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0111,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0112,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0113,,x,x,,,x,,x,,,,,,x,,x,x,,,
FF.0114,,x,x,,,x,,x,,,,,,x,,x,x,,,
ID.0101,,x,x,,x,x,,,,,,,,x,,x,x,,,
ID.0102,,x,x,,,x,,,,,,,,x,,x,x,,,
ID.0103,,x,x,,,x,,,,,,,x,,,x,x,,,
ID.0104,,x,x,x,x,x,,,,,,,,x,,x,x,,,
ID.0105,,x,x,,,x,,,,,,,,x,,x,x,,,
ID.0106,,x,x,,,x,,,,,,,,x,,x,x,,,
ID.0107,,x,x,,,,,,,,,,,x,,x,x,,,
ID.0108,,x,x,,,,,,,,,,,x,,x,x,,,
ID.0109,,x,x,,,,,,,,,,,x,,x,x,,,
ID.0110,,x,x,,,x,,,,,,,,x,,x,x,,,
ID.0111,,x,x,,,x,x,,,,,,,x,,x,x,,,
ME.0101,x,,x,,,x,,,,,,x,,,,x,x,,,
ME.0102,x,,x,,,x,,,,,,x,,,,x,x,,,
ME.0103,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0104,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0105,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0106,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0107,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0108,x,,x,,,,,,,,,,,x,,x,x,,,
ME.0109,,x,x,x,x,x,x,,,,,,,x,,x,x,,,x
ME.0110,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0111,x,,x,,,x,,,,,,,,x,,x,x,,,
ME.0112,,,x,,,,,,,,,,,x,,x,,,,
ME.0113,,x,x,x,x,x,,x,,,,,,x,,x,x,,,x
ME.0114,x,,x,,,x,,,,,,,,x,,,x,,,
ME.0115,x,,x,,,x,,,,,,,,x,,,x,,,
ME.0116,,x,x,,,,,,,,,,,x,,x,x,,,
ME.0117,,x,x,,,,,,,,,,,x,,x,x,,,
ME.0118,,x,x,,,x,,,,,,,,x,,x,x,,,
ST.0102,x,,x,,,,,,,,,,,x,,x,,,,
ST.0103,x,,x,,,,,,,,,,,,,,,,,
ST.0104,x,,x,,,,,,,,,,,,,,,,,
ST.0105,x,,x,,,x,,,,,,,,,,,,,,
ST.0106,x,,x,,,x,,,,,,,,,,,,,,
ST.0107,x,,x,,,x,,,,,,,,,,,,,,
ST.0108,x,,x,,,x,,,,,,,,,,,,,,
TE.0101,x,,x,,x,x,,,,,,,,,,,x,x,x,
TE.0102,x,,x,,x,x,x,x,,,,x,,,,x,x,x,x,
TE.0103,,x,x,x,x,x,x,,,,,x,,,,x,x,,,
TE.0104,,x,x,x,x,x,x,x,,,,,,x,,x,x,,,x
TE.0105,,x,x,x,x,x,,,,,,,,x,,x,x,,,
TE.0106,,x,x,,x,x,x,,,,,,,x,,x,x,,,
TE.0107,,x,x,,,,,,,,,,,x,,x,x,,,
TE.0108,,x,x,,x,x,x,,,,,,,x,,x,x,,,
TE.0109,,x,x,x,x,x,x,,,,x,,,,,x,x,,,
TE.0110,,x,x,x,x,x,x,x,,,,,,x,,x,x,,,x
TE.0111,,x,x,x,x,x,,x,,,,,,x,,x,x,,,
TE.0112,,x,x,x,x,x,,,,,,,,x,,x,x,,,
TE.0113,,x,x,,x,x,,,,,,,,x,,x,x,,,
TE.0114,,x,x,,,x,x,,,,,,,x,,x,x,,,
TE.0115,,x,x,,,x,,,,,,,,,,x,x,,,
TS.0101,x,,x,,,x,x,x,,,,,,x,,x,x,x,,
TS.0102,x,,x,,,x,x,x,,,,,,x,,x,x,,,
TS.0103,x,,x,,,x,,,,,,,,x,,x,x,,,
TS.0104,x,,x,,,x,,,,,,,,,,x,x,,,
TS.0105,x,,x,,,x,,,,,,,,x,,x,x,,,
TS.0106,x,,x,,,x,,,,,,,,x,,x,x,,,
WS.0101,x,,x,x,x,x,,,,,,,,x,,x,x,,,
WS.0102,x,,x,x,x,x,,,,,,,,x,,x,x,,,
WS.0103,,x,x,x,x,x,,,,,,,,x,,x,x,,,
,,,x,,,,,,,,,,,x,,x,x,,,
AD.0201,,x,x,,,x,,,,,,,,x,,x,x,,,
AD.0202,,x,x,,,,,,,,,,,x,,x,x,,,x
AD.0203,,x,x,,,,,,,,,,,x,,x,x,,,
ID.0201,,x,x,x,x,x,,,,,,,,x,,x,x,,,
ID.0202,,x,x,x,x,x,,,,,,,,,,,x,,,
ID.0203,,x,x,,,x,,,,,,,,,,,x,,,
ID.0204,,x,x,,,,,,,,,,,,,,x,,,
ID.0205,,x,x,,,x,,,,,,,,,,,x,,,
ID.0206,,x,x,x,x,x,,,,,,,,,,,x,,,
ID.0207,,x,x,,,x,,,,,,,,,,,x,,,
ID.0208,,x,x,,,,,,,,,,,,,,x,,,
ID.0209,,x,x,,,,,,,,,,,,,,x,,,
ME.0201,,x,x,,,,,,,,,,,,,,x,,,
ME.0202,,x,x,,,x,,,,,,,,,,,x,,,x
ME.0203,x,,x,,,x,,,,,,,,,,,,,,
ME.0204,x,,x,,,x,,,,,,,,,,,x,,,
ST.0202,x,,x,,,,,,,,,,,,,,,,,
ST.0203,x,,x,,,,,,,,,,,,,,,,,
ST.0204,x,,x,,,,,,,,,,,,,,,,,
ST.0205,x,,x,,,,,,,,,,,,,,,,,
ST.0206,x,,x,,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,,
ME.0205,x,,x,,x,x,,,,,,,,,,,x,x,,
,,,x,,,,,,,,,,,,,,,,,
ME.0206,x,,x,,,,,,,,,,,,,,x,,,
ME.0207,x,,x,,,,,,,,,,,,,,x,,,
ME.0208,x,,x,,,,,,,,,,,,,,x,,,
,,,x,,,,,,,,,,,,,,,,,
ME.0301,x,,x,,x,x,,,,,,,,,,,x,,,
ME.0302,x,,x,,,x,,,,,,,,,,,x,,,
ST.0302,x,,x,,,x,,,,,,,,,,,,,,
ST.0303,x,,x,,,x,,,,,,,,,,,,,,
ST.0304,x,,x,,,x,,,,,,,,,,,,,,
